"series_id","name","url","season","format","max_innings"
774275,"Australia Under-19s in Sri Lanka Youth ODI Series","https://www.espncricinfo.com/series/australia-under-19s-in-sri-lanka-youth-odi-series-2014-15-774275","2014/15","odi",2
820099,"Bangladesh Under-19s in Sri Lanka Youth ODI Series","https://www.espncricinfo.com/series/bangladesh-under-19s-in-sri-lanka-youth-odi-series-2014-15-820099","2014/15","odi",2
775061,"Zimbabwe A tour of Bangladesh","https://www.espncricinfo.com/series/zimbabwe-a-tour-of-bangladesh-2014-15-775061","2014/15","test",4
762473,"New Zealand Women tour of West Indies","https://www.espncricinfo.com/series/new-zealand-women-tour-of-west-indies-2014-15-762473","2014/15","test",4
765547,"United Arab Emirates tour of Australia and New Zealand [September 2014]","https://www.espncricinfo.com/series/united-arab-emirates-tour-of-australia-and-new-zealand-september-2014-2014-15-765547","2014/15","test",4
765549,"Papua New Guinea tour of Australia","https://www.espncricinfo.com/series/papua-new-guinea-tour-of-australia-2014-15-765549","2014/15","test",4
765541,"Afghanistan tour of Australia and New Zealand [September 2014]","https://www.espncricinfo.com/series/afghanistan-tour-of-australia-and-new-zealand-september-2014-2014-15-765541","2014/15","test",4
774141,"Australia Under-19s tour of Sri Lanka","https://www.espncricinfo.com/series/australia-under-19s-tour-of-sri-lanka-2014-15-774141","2014/15","test",4
727905,"Australia tour of United Arab Emirates","https://www.espncricinfo.com/series/australia-tour-of-united-arab-emirates-2014-15-727905","2014/15","test",4
765545,"Scotland tour of Australia and New Zealand [September 2014]","https://www.espncricinfo.com/series/scotland-tour-of-australia-and-new-zealand-september-2014-2014-15-765545","2014/15","test",4
765543,"Ireland tour of Australia and New Zealand [September 2014]","https://www.espncricinfo.com/series/ireland-tour-of-australia-and-new-zealand-september-2014-2014-15-765543","2014/15","test",4
770047,"West Indies tour of India","https://www.espncricinfo.com/series/west-indies-tour-of-india-2014-15-770047","2014/15","test",4
785037,"West Indies A tour of Sri Lanka","https://www.espncricinfo.com/series/west-indies-a-tour-of-sri-lanka-2014-15-785037","2014/15","test",4
727909,"Pakistan A tour of United Arab Emirates","https://www.espncricinfo.com/series/pakistan-a-tour-of-united-arab-emirates-2014-15-727909","2014/15","test",4
757489,"South Africa Women tour of Sri Lanka","https://www.espncricinfo.com/series/south-africa-women-tour-of-sri-lanka-2014-15-757489","2014/15","test",4
760771,"Zimbabwe tour of Bangladesh","https://www.espncricinfo.com/series/zimbabwe-tour-of-bangladesh-2014-15-760771","2014/15","test",4
749761,"South Africa tour of New Zealand [October 2014]","https://www.espncricinfo.com/series/south-africa-tour-of-new-zealand-october-2014-2014-15-749761","2014/15","test",4
754779,"West Indies Women tour of Australia","https://www.espncricinfo.com/series/west-indies-women-tour-of-australia-2014-15-754779","2014/15","test",4
793217,"Afghanistan Under-19s tour of Pakistan","https://www.espncricinfo.com/series/afghanistan-under-19s-tour-of-pakistan-2014-15-793217","2014/15","test",4
790869,"Sri Lanka tour of India","https://www.espncricinfo.com/series/sri-lanka-tour-of-india-2014-15-790869","2014/15","test",4
754591,"South Africa tour of Australia [November 2014]","https://www.espncricinfo.com/series/south-africa-tour-of-australia-november-2014-2014-15-754591","2014/15","test",4
742601,"New Zealand tour of United Arab Emirates","https://www.espncricinfo.com/series/new-zealand-tour-of-united-arab-emirates-2014-15-742601","2014/15","test",4
791627,"Hong Kong tour of Australia","https://www.espncricinfo.com/series/hong-kong-tour-of-australia-2014-15-791627","2014/15","test",4
800047,"Hong Kong tour of Sri Lanka","https://www.espncricinfo.com/series/hong-kong-tour-of-sri-lanka-2014-15-800047","2014/15","test",4
800045,"Nepal tour of Sri Lanka","https://www.espncricinfo.com/series/nepal-tour-of-sri-lanka-2014-15-800045","2014/15","test",4
797883,"South Africa Women tour of India","https://www.espncricinfo.com/series/south-africa-women-tour-of-india-2014-15-797883","2014/15","test",4
799489,"Afghanistan A tour of Pakistan","https://www.espncricinfo.com/series/afghanistan-a-tour-of-pakistan-2014-15-799489","2014/15","test",4
750619,"England tour of Sri Lanka","https://www.espncricinfo.com/series/england-tour-of-sri-lanka-2014-15-750619","2014/15","test",4
794601,"New Zealand A tour of United Arab Emirates","https://www.espncricinfo.com/series/new-zealand-a-tour-of-united-arab-emirates-2014-15-794601","2014/15","test",4
722315,"West Indies tour of South Africa","https://www.espncricinfo.com/series/west-indies-tour-of-south-africa-2014-15-722315","2014/15","test",4
803059,"Kenya tour of Pakistan","https://www.espncricinfo.com/series/kenya-tour-of-pakistan-2014-15-803059","2014/15","test",4
737413,"England Lions tour of South Africa","https://www.espncricinfo.com/series/england-lions-tour-of-south-africa-2014-15-737413","2014/15","test",4
816163,"Canada tour of Zimbabwe","https://www.espncricinfo.com/series/canada-tour-of-zimbabwe-2014-15-816163","2014/15","test",4
808847,"Sri Lanka Women tour of United Arab Emirates","https://www.espncricinfo.com/series/sri-lanka-women-tour-of-united-arab-emirates-2014-15-808847","2014/15","test",4
820089,"Bangladesh Under-19s tour of Sri Lanka","https://www.espncricinfo.com/series/bangladesh-under-19s-tour-of-sri-lanka-2014-15-820089","2014/15","test",4
774839,"England Women tour of New Zealand","https://www.espncricinfo.com/series/england-women-tour-of-new-zealand-2014-15-774839","2014/15","test",4
826999,"Namibia Under-19s tour of Zimbabwe","https://www.espncricinfo.com/series/namibia-under-19s-tour-of-zimbabwe-2014-15-826999","2014/15","test",4
828235,"South Africa Women tour of United Arab Emirates","https://www.espncricinfo.com/series/south-africa-women-tour-of-united-arab-emirates-2014-15-828235","2014/15","test",4
854051,"Derbyshire tour of United Arab Emirates","https://www.espncricinfo.com/series/derbyshire-tour-of-united-arab-emirates-2015-854051","2014/15","test",4
854055,"Marylebone Cricket Club Universities tour of United Arab Emirates","https://www.espncricinfo.com/series/marylebone-cricket-club-universities-tour-of-united-arab-emirates-2015-854055","2014/15","test",4
854059,"Marylebone Cricket Club Young Cricketers tour of United Arab Emirates","https://www.espncricinfo.com/series/marylebone-cricket-club-young-cricketers-tour-of-united-arab-emirates-2015-854059","2014/15","test",4
853031,"Middlesex tour of United Arab Emirates","https://www.espncricinfo.com/series/middlesex-tour-of-united-arab-emirates-2015-853031","2014/15","test",4
854049,"Worcestershire tour of United Arab Emirates","https://www.espncricinfo.com/series/worcestershire-tour-of-united-arab-emirates-2015-854049","2014/15","test",4
